"customer_name","average_payment_amount"
"JANE BENNETT","3.597142857"
"LORI WOOD","4.570645161"
"RACHEL BARNES","3.853636363"
"MARILYN ROSS","4.590000000"
"ANDREA HENDERSON","4.262727272"
"KATHRYN COLEMAN","5.028461538"
"LOUISE JENKINS","4.070000000"
"SARA PERRY","4.293030303"
"ANNE POWELL","3.816086956"
"JACQUELINE LONG","4.505151515"
"WANDA PATTERSON","4.856666666"
"BONNIE HUGHES","4.180476190"
"JULIA FLORES","4.208750000"
"RUBY WASHINGTON","3.954285714"
"LOIS BUTLER","3.247142857"
"TINA SIMMONS","4.775714285"
"PHYLLIS FOSTER","3.990000000"
"NORMA GONZALES","3.799523809"
"PAULA BRYANT","4.323333333"
"DIANA ALEXANDER","3.915925925"
"ANNIE RUSSELL","3.267777777"
"LILLIAN GRIFFIN","4.270000000"
"EMILY DIAZ","3.823333333"
"ROBIN HAYES","4.281666666"
"PEGGY MYERS","4.031666666"
"CRYSTAL FORD","4.171818181"
"GLADYS HAMILTON","4.731935483"
"RITA GRAHAM","3.865000000"
"DAWN SULLIVAN","4.643846153"
"CONNIE WALLACE","4.381304347"
"FLORENCE WOODS","4.223333333"
"TRACY COLE","4.423333333"
"EDNA WEST","4.143846153"
"TIFFANY JORDAN","4.275714285"
"CARMEN OWENS","3.759230769"
"ROSA REYNOLDS","4.456666666"
"CINDY FISHER","3.921034482"
"GRACE ELLIS","4.232424242"
"WENDY HARRISON","3.056666666"
"VICTORIA GIBSON","4.138148148"
"EDITH MCDONALD","3.779473684"
"KIM CRUZ","3.942380952"
"SHERRY MARSHALL","4.519411764"
"SYLVIA ORTIZ","4.490000000"
"JOSEPHINE GOMEZ","4.220769230"
"THELMA MURRAY","3.958750000"
"SHANNON FREEMAN","4.198333333"
"SHEILA WELLS","4.101111111"
"ETHEL WEBB","4.240000000"
"ELLEN SIMPSON","4.204285714"
"ELAINE STEVENS","4.490000000"
"MARJORIE TUCKER","3.990000000"
"CARRIE PORTER","3.666470588"
"CHARLOTTE HUNTER","3.906666666"
"MONICA HICKS","4.290000000"
"ESTHER CRAWFORD","3.418571428"
"PAULINE HENRY","3.656666666"
"EMMA BOYD","4.120434782"
"JUANITA MASON","3.690000000"
"ANITA MORALES","4.190000000"
"RHONDA KENNEDY","4.990000000"
"HAZEL WARREN","3.254705882"
"AMBER DIXON","4.212222222"
"EVA RAMOS","4.656666666"
"DEBBIE REYES","4.083750000"
"APRIL BURNS","3.643846153"
"LESLIE GORDON","4.080909090"
"CLARA SHAW","4.656666666"
"LUCILLE HOLMES","3.882857142"
"JAMIE RICE","4.817586206"
"JOANNE ROBERTSON","3.754705882"
"ELEANOR HUNT","4.707391304"
"VALERIE BLACK","4.682307692"
"DANIELLE DANIELS","4.230000000"
"MEGAN PALMER","3.434444444"
"ALICIA MILLS","3.990000000"
"SUZANNE NICHOLS","3.948333333"
"MICHELE GRANT","4.356666666"
"GAIL KNIGHT","4.390000000"
"BERTHA FERGUSON","4.070000000"
"DARLENE ROSE","3.667419354"
"VERONICA STONE","3.958750000"
"JILL HAWKINS","3.275714285"
"ERIN DUNN","3.952962962"
"GERALDINE PERKINS","3.756666666"
"LAUREN HUDSON","3.590000000"
"CATHY SPENCER","4.231379310"
"JOANN GARDNER","4.177500000"
"LORRAINE STEPHENS","4.132857142"
"LYNN PAYNE","4.418571428"
"SALLY PIERCE","3.740000000"
"REGINA BERRY","3.990000000"
"ERICA MATTHEWS","4.353636363"
"BEATRICE ARNOLD","4.605384615"
"DOLORES WAGNER","4.413076923"
"BERNICE WILLIS","4.414242424"
"AUDREY RAY","4.127931034"
"YVONNE WATKINS","4.418571428"
"ANNETTE OLSON","4.115000000"
"JUNE CARROLL","4.692702702"
"SAMANTHA DUNCAN","3.120434782"
"MARION SNYDER","4.990000000"
"DANA HART","4.610689655"
"STACY CUNNINGHAM","4.294347826"
"ANA BRADLEY","5.137058823"
"RENEE LANE","3.759230769"
"IDA ANDREWS","3.337826086"
"VIVIAN RUIZ","3.946521739"
"ROBERTA HARPER","3.685652173"
"HOLLY FOX","3.699677419"
"BRITTANY RILEY","5.704285714"
"MELANIE ARMSTRONG","3.710000000"
"LORETTA CARPENTER","4.262727272"
"YOLANDA WEAVER","4.101111111"
"JEANETTE GREENE","3.740000000"
"LAURIE LAWRENCE","4.337826086"
"KATIE ELLIOTT","4.390000000"
"KRISTEN CHAVEZ","4.878888888"
"VANESSA SIMS","4.568947368"
"ALMA AUSTIN","4.332857142"
"SUE PETERS","3.865000000"
"ELSIE KELLEY","3.827837837"
"BETH FRANKLIN","4.150000000"
"JEANNE LAWSON","5.064074074"
"VICKI FIELDS","4.350000000"
"CARLA GUTIERREZ","3.990000000"
"TARA RYAN","4.440000000"
"ROSEMARY SCHMIDT","4.218571428"
"EILEEN CARR","4.490000000"
"TERRI VASQUEZ","4.693703703"
"GERTRUDE CASTILLO","4.048823529"
"LUCY WHEELER","3.528461538"
"TONYA CHAPMAN","5.052500000"
"ELLA OLIVER","4.441612903"
"STACEY MONTGOMERY","4.460588235"
"WILMA RICHARDS","4.590000000"
"GINA WILLIAMSON","3.990000000"
"KRISTIN JOHNSTON","3.764193548"
"JESSIE BANKS","3.528461538"
"NATALIE MEYER","4.163913043"
"AGNES BISHOP","4.294347826"
"VERA MCCOY","3.767777777"
"WILLIE HOWELL","3.913076923"
"CHARLENE ALVAREZ","4.249259259"
"BESSIE MORRISON","4.740000000"
"DELORES HANSEN","4.370952380"
"MELINDA FERNANDEZ","4.754705882"
"PEARL GARZA","3.490000000"
"ARLENE HARVEY","4.643846153"
"MAUREEN LITTLE","4.180476190"
"COLLEEN BURTON","3.656666666"
"ALLISON STANLEY","3.434444444"
"TAMARA NGUYEN","3.750000000"
"JOY GEORGE","3.777878787"
"GEORGIA JACOBS","4.259230769"
"CONSTANCE REID","3.830000000"
"LILLIE KIM","3.903043478"
"CLAUDIA FULLER","4.297692307"
"JACKIE LYNCH","3.750000000"
"MARCIA DEAN","4.180476190"
"TANYA GILBERT","4.383939393"
"NELLIE GARRETT","4.513809523"
"MINNIE ROMERO","4.195882352"
"MARLENE WELCH","4.528461538"
"HEIDI LARSON","3.607647058"
"GLENDA FRAZIER","4.396250000"
"LYDIA BURKE","3.448333333"
"VIOLA HANSON","4.052500000"
"COURTNEY DAY","4.146250000"
"MARIAN MENDOZA","4.685652173"
"STELLA MORENO","4.762727272"
"CAROLINE BOWMAN","3.390000000"
"DORA MEDINA","4.685652173"
"JO FOWLER","3.690000000"
"VICKIE BREWER","3.893225806"
"MATTIE HOFFMAN","2.944545454"
"TERRY CARLSON","4.403793103"
"MAXINE SILVA","3.646250000"
"IRMA PEARSON","3.934444444"
"MABEL HOLLAND","3.756666666"
"MARSHA DOUGLAS","4.098108108"
"MYRTLE FLEMING","4.615000000"
"LENA JENSEN","5.171818181"
"CHRISTY VARGAS","3.957741935"
"DEANNA BYRD","4.143846153"
"PATSY DAVIDSON","4.275714285"
"HILDA HOPKINS","4.231379310"
"GWENDOLYN MAY","3.950000000"
"JENNIE TERRY","4.610689655"
"NORA HERRERA","4.240000000"
"MARGIE WADE","4.434444444"
"NINA SOTO","4.265862068"
"CASSANDRA WALTERS","4.323333333"
"LEAH CURTIS","4.190000000"
"PENNY NEAL","3.823333333"
"KAY CALDWELL","4.940000000"
"PRISCILLA LOWE","4.504285714"
"NAOMI JENNINGS","4.361428571"
"CAROLE BARNETT","3.623333333"
"BRANDY GRAVES","4.382857142"
"OLGA JIMENEZ","4.521250000"
"BILLIE HORTON","3.413076923"
"DIANNE SHELTON","4.377096774"
"TRACEY BARRETT","4.397407407"
"LEONA OBRIEN","3.632857142"
"JENNY CASTRO","3.841851851"
"FELICIA SUTTON","3.097142857"
"SONIA GREGORY","4.525714285"
"MIRIAM MCKINNEY","5.220769230"
"VELMA LUCAS","4.360370370"
"BECKY MILES","3.990000000"
"BOBBIE CRAIG","3.365000000"
"VIOLET RODRIQUEZ","4.756666666"
"KRISTINA CHAMBERS","3.918571428"
"TONI HOLT","4.163913043"
"MISTY LAMBERT","4.397407407"
"MAE FLETCHER","5.119032258"
"SHELLY WATTS","4.374615384"
"DAISY BATES","4.279473684"
"RAMONA HALE","4.323333333"
"SHERRI RHODES","3.899090909"
"ERIKA PENA","3.913076923"
"JAMES GANNON","4.390000000"
"JOHN FARNSWORTH","4.441612903"
"ROBERT BAUGHMAN","4.418571428"
"MICHAEL SILVERMAN","4.403793103"
"WILLIAM SATTERFIELD","3.874615384"
"DAVID ROYAL","4.451538461"
"RICHARD MCCRARY","4.390000000"
"CHARLES KOWALSKI","4.333750000"
"JOSEPH JOY","4.490000000"
"THOMAS GRIGSBY","4.230000000"
"CHRISTOPHER GRECO","4.764193548"
"DANIEL CABRAL","4.890000000"
"PAUL TROUT","5.250869565"
"MARK RINEHART","4.028461538"
"DONALD MAHON","3.903043478"
"GEORGE LINTON","3.990000000"
"KENNETH GOODEN","4.990000000"
"STEVEN CURLEY","4.576206896"
"EDWARD BAUGH","4.097142857"
"BRIAN WYMAN","4.406666666"
"RONALD WEINER","4.423333333"
"ANTHONY SCHWAB","3.590000000"
"KEVIN SCHULER","5.308181818"
"JASON MORRISSEY","4.597142857"
"MATTHEW MAHAN","3.699677419"
"GARY COY","4.150000000"
"TIMOTHY BUNN","4.171818181"
"JOSE ANDREW","3.870000000"
"LARRY THRASHER","4.336153846"
"JEFFREY SPEAR","3.946521739"
"FRANK WAGGONER","3.990000000"
"SCOTT SHELLEY","3.790000000"
"ERIC ROBERT","4.545555555"
"STEPHEN QUALLS","4.240000000"
"ANDREW PURDY","4.064074074"
"RAYMOND MCWHORTER","4.523333333"
"GREGORY MAULDIN","3.424782608"
"JOSHUA MARK","3.990000000"
"JERRY JORDON","4.955517241"
"DENNIS GILMAN","4.097142857"
"WALTER PERRYMAN","4.256666666"
"PATRICK NEWSOM","3.860967741"
"PETER MENARD","4.642173913"
"HAROLD MARTINO","4.083750000"
"DOUGLAS GRAF","4.590000000"
"HENRY BILLINGSLEY","4.101111111"
"CARL ARTIS","4.642173913"
"ARTHUR SIMPKINS","4.865000000"
"RYAN SALISBURY","4.756666666"
"ROGER QUINTANILLA","4.073333333"
"JOE GILLILAND","4.783103448"
"JUAN FRALEY","3.207391304"
"JACK FOUST","3.740000000"
"ALBERT CROUSE","4.337826086"
"JONATHAN SCARBOROUGH","4.045555555"
"JUSTIN NGO","3.601111111"
"TERRY GRISSOM","3.640000000"
"GERALD FULTZ","4.056666666"
"KEITH RICO","3.451538461"
"SAMUEL MARLOW","3.847142857"
"WILLIE MARKHAM","4.070000000"
"RALPH MADRIGAL","4.431176470"
"LAWRENCE LAWTON","3.248064516"
"NICHOLAS BARFIELD","4.552500000"
"ROY WHITING","4.955517241"
"BENJAMIN VARNEY","4.163913043"
"BRUCE SCHWARZ","4.511739130"
"BRANDON HUEY","4.125135135"
"ADAM GOOCH","4.626363636"
"HARRY ARCE","4.504285714"
"FRED WHEAT","3.550000000"
"WAYNE TRUONG","3.726842105"
"BILLY POULIN","4.275714285"
"STEVE MACKENZIE","4.666470588"
"LOUIS LEONE","4.618571428"
"JEREMY HURTADO","3.704285714"
"AARON SELBY","4.615000000"
"RANDY GAITHER","3.954285714"
"HOWARD FORTNER","3.605384615"
"EUGENE CULPEPPER","3.779473684"
"CARLOS COUGHLIN","4.642173913"
"RUSSELL BRINSON","3.795555555"
"BOBBY BOUDREAU","3.047142857"
"VICTOR BARKLEY","3.823333333"
"MARTIN BALES","3.841851851"
"ERNEST STEPP","3.590000000"
"PHILLIP HOLM","3.913076923"
"TODD TAN","4.058965517"
"JESSE SCHILLING","3.913076923"
"CRAIG MORRELL","4.156666666"
"ALAN KAHN","4.797692307"
"SHAWN HEATON","4.626363636"
"CLARENCE GAMEZ","3.490000000"
"SEAN DOUGLASS","3.990000000"
"PHILIP CAUSEY","3.925483870"
"CHRIS BROTHERS","3.853636363"
"JOHNNY TURPIN","3.042631578"
"EARL SHANKS","4.138148148"
"JIMMY SCHRADER","3.645172413"
"ANTONIO MEEK","4.927500000"
"DANNY ISOM","4.370952380"
"BRYAN HARDISON","4.454285714"
"TONY CARRANZA","3.399090909"
"LUIS YANEZ","3.990000000"
"MIKE WAY","4.761428571"
"STANLEY SCROGGINS","4.656666666"
"LEONARD SCHOFIELD","3.427500000"
"NATHAN RUNYON","3.833750000"
"DALE RATCLIFF","4.175185185"
"MANUEL MURRELL","3.890000000"
"RODNEY MOELLER","4.555217391"
"CURTIS IRBY","4.411052631"
"NORMAN CURRIER","3.105384615"
"ALLEN BUTTERFIELD","4.085238095"
"MARVIN YEE","3.609047619"
"VINCENT RALSTON","4.230000000"
"GLENN PULLEN","4.076956521"
"JEFFERY PINSON","3.925483870"
"TRAVIS ESTEP","4.430000000"
"JEFF EAST","3.590000000"
"CHAD CARBONE","3.590000000"
"JACOB LANCE","3.799523809"
"LEE HAWKS","4.434444444"
"MELVIN ELLINGTON","3.759230769"
"ALFRED CASILLAS","4.643846153"
"KYLE SPURLOCK","3.690000000"
"FRANCIS SIKES","4.028461538"
"BRADLEY MOTLEY","4.693703703"
"JESUS MCCARTNEY","4.781666666"
"HERBERT KRUGER","3.940000000"
"FREDERICK ISBELL","5.037619047"
"RAY HOULE","3.626363636"
"JOEL FRANCISCO","4.163913043"
"EDWIN BURK","5.076956521"
"DON BONE","5.350000000"
"EDDIE TOMLIN","4.767777777"
"RICKY SHELBY","3.670000000"
"TROY QUIGLEY","4.823333333"
"RANDALL NEUMANN","4.337826086"
"BARRY LOVELACE","4.080909090"
"ALEXANDER FENNELL","4.212222222"
"BERNARD COLBY","4.035454545"
"MARIO CHEATHAM","4.025714285"
"LEROY BUSTAMANTE","3.708750000"
"FRANCISCO SKIDMORE","4.490000000"
"MARCUS HIDALGO","3.856666666"
"MICHEAL FORMAN","3.951538461"
"THEODORE CULP","3.764193548"
"CLIFFORD BOWENS","3.921034482"
"MIGUEL BETANCOURT","4.679655172"
"OSCAR AQUINO","4.990000000"
"JAY ROBB","3.451538461"
"JIM REA","3.899090909"
"TOM MILNER","3.365000000"
"CALVIN MARTEL","4.859565217"
"ALEX GRESHAM","4.596060606"
"JON WILES","3.656666666"
"RONNIE RICKETTS","4.030000000"
"BILL GAVIN","4.097142857"
"LLOYD DOWD","3.516315789"
"TOMMY COLLAZO","4.911052631"
"LEON BOSTIC","4.390000000"
"DEREK BLAKELY","3.490000000"
"WARREN SHERROD","4.838484848"
"DARRELL POWER","3.670000000"
"JEROME KENYON","4.615000000"
"FLOYD GANDY","4.107647058"
"LEO EBERT","4.555217391"
"ALVIN DELOACH","4.817586206"
"TIM CARY","4.502820512"
"WESLEY BULL","4.440000000"
"GORDON ALLARD","5.021250000"
"DEAN SAUER","4.064074074"
"GREG ROBINS","4.723333333"
"JORGE OLIVARES","3.960588235"
"DUSTIN GILLETTE","3.874615384"
"PEDRO CHESTNUT","4.323333333"
"DERRICK BOURQUE","4.353636363"
"DAN PAINE","4.990000000"
"LEWIS LYMAN","4.568947368"
"ZACHARY HITE","4.731935483"
"COREY HAUSER","4.626363636"
"HERMAN DEVORE","3.990000000"
"MAURICE CRAWLEY","4.783103448"
"VERNON CHAPA","4.934444444"
"ROBERTO VU","4.656666666"
"CLYDE TOBIAS","3.990000000"
"GLEN TALBERT","4.374615384"
"HECTOR POINDEXTER","4.605384615"
"SHANE MILLARD","4.353636363"
"RICARDO MEADOR","4.751904761"
"SAM MCDUFFIE","4.906666666"
"RICK MATTOX","4.619629629"
"LESTER KRAUS","4.115000000"
"BRENT HARKINS","4.903043478"
"RAMON CHOATE","4.538387096"
"CHARLIE BESS","4.643846153"
"TYLER WREN","4.228095238"
"GILBERT SLEDGE","4.632857142"
"GENE SANBORN","3.619629629"
"MARC OUTLAW","4.123333333"
"REGINALD KINDER","4.132857142"
"RUBEN GEARY","4.275714285"
"BRETT CORNWELL","4.078235294"
"ANGEL BARCLAY","3.615000000"
"NATHANIEL ADAM","4.775714285"
"RAFAEL ABNEY","4.656666666"
"LESLIE SEWARD","4.361428571"
"EDGAR RHOADS","3.830000000"
"MILTON HOWLAND","5.110000000"
"RAUL FORTIER","5.040000000"
"BEN EASTER","4.720769230"
"CHESTER BENNER","4.156666666"
"CECIL VINES","4.451538461"
"DUANE TUBBS","4.796451612"
"FRANKLIN TROUTMAN","3.399090909"
"ANDRE RAPP","4.525714285"
"ELMER NOE","3.797692307"
"BRAD MCCURDY","4.230000000"
"GABRIEL HARDER","4.297692307"
"RON DELUCA","4.511739130"
"MITCHELL WESTMORELAND","4.208750000"
"ROLAND SOUTH","3.511739130"
"ARNOLD HAVENS","5.080909090"
"HARVEY GUAJARDO","4.262727272"
"JARED ELY","4.621578947"
"ADRIAN CLARY","3.937368421"
"KARL SEAL","4.923333333"
"CORY MEEHAN","3.406666666"
"CLAUDE HERZOG","4.470000000"
"ERIK GUILLEN","4.093448275"
"DARRYL ASHCRAFT","3.337826086"
"JAMIE WAUGH","4.750000000"
"NEIL RENNER","4.771250000"
"JESSIE MILAM","4.293030303"
"CHRISTIAN JUNG","3.698333333"
"JAVIER ELROD","4.240000000"
"FERNANDO CHURCHILL","4.710000000"
"CLINTON BUFORD","4.150000000"
"TED BREAUX","4.058965517"
"MATHEW BOLIN","4.126363636"
"TYRONE ASHER","4.698333333"
"DARREN WINDHAM","4.531666666"
"LONNIE TIRADO","5.267777777"
"LANCE PEMBERTON","3.762727272"
"CODY NOLEN","4.490000000"
"JULIO NOLAND","4.275714285"
"KELLY KNOTT","4.143846153"
"KURT EMMONS","4.337826086"
"ALLAN CORNISH","4.200526315"
"NELSON CHRISTENSON","3.890000000"
"GUY BROWNLEE","4.990000000"
"CLAYTON BARBEE","3.720769230"
"HUGH WALDROP","4.323333333"
"MAX PITT","4.490000000"
"DWAYNE OLVERA","4.626363636"
"DWIGHT LOMBARDI","4.401764705"
"ARMANDO GRUBER","3.990000000"
"FELIX GAFFNEY","3.073333333"
"JIMMIE EGGLESTON","4.847142857"
"EVERETT BANDA","3.954285714"
"JORDAN ARCHULETA","4.423333333"
"IAN STILL","3.582592592"
"WALLACE SLONE","4.390000000"
"KEN PREWITT","3.817586206"
"BOB PFEIFFER","3.823333333"
"JAIME NETTLES","4.369310344"
"CASEY MENA","4.166470588"
"ALFREDO MCADAMS","4.290000000"
"ALBERTO HENNING","3.180476190"
"DAVE GARDINER","4.208750000"
"IVAN CROMWELL","3.836153846"
"JOHNNIE CHISHOLM","5.073333333"
"SIDNEY BURLESON","4.350000000"
"BYRON BOX","4.162413793"
"JULIAN VEST","3.918571428"
"ISAAC OGLESBY","4.369310344"
"MORRIS MCCARTER","4.107647058"
"CLIFTON MALCOLM","4.240000000"
"WILLARD LUMPKIN","4.399090909"
"DARYL LARUE","4.138148148"
"ROSS GREY","3.693703703"
"VIRGIL WOFFORD","3.990000000"
"ANDY VANHORN","4.550000000"
"MARSHALL THORN","5.120434782"
"SALVADOR TEEL","4.323333333"
"PERRY SWAFFORD","4.906666666"
"KIRK STCLAIR","3.411052631"
"SERGIO STANFIELD","4.182307692"
"MARION OCAMPO","3.990000000"
"TRACY HERRMANN","4.632857142"
"SETH HANNON","4.510000000"
"KENT ARSENAULT","4.990000000"
"TERRANCE ROUSH","3.852068965"
"RENE MCALISTER","4.374615384"
"EDUARDO HIATT","4.841851851"
"TERRENCE GUNDERSON","3.923333333"
"ENRIQUE FORSYTHE","3.454285714"
"FREDDIE DUGGAN","3.990000000"
"WADE DELVALLE","3.808181818"
"AUSTIN CINTRON","4.411052631"
